Date,Daily Average,Weekly Average
2020-01-01,3.95120908333333,3.72113879761905
2020-01-02,1.77141666666667,3.48618835119048
2020-01-03,2.13545833333333,3.11275977976191
2020-01-04,2.69966666666667,2.98864073214286
2020-01-05,2.758,2.85329251785714
2020-01-06,3.47159754166667,2.94456463690476
2020-01-07,2.875125,2.80892475595238
2020-01-08,3.05379166666667,2.68072226785714
2020-01-09,3.06116802083333,2.86497246130952
2020-01-10,4.48643777083333,3.20082666666667
2020-01-11,3.266721375,3.28183448214286
2020-01-12,3.5584795,3.39618869642857
2020-01-13,3.688708125,3.42720449404762
2020-01-14,4.95008333333333,3.72362711309524
2020-01-15,3.00642279166667,3.71686013095238
2020-01-16,3.92141645833333,3.83975276488095
2020-01-17,3.10796808333333,3.64282852380952
2020-01-18,3.82359533333333,3.72238194642857
2020-01-19,4.13827527083333,3.80520991369048
2020-01-20,2.8328125,3.68293911011905
2020-01-21,5.20482920833333,3.71933137797619
2020-01-22,5.77310416666667,4.11457157440476
2020-01-23,3.74294685416667,4.08907591666667
2020-01-24,3.59139583333333,4.15813702380952
2020-01-25,3.57597316666667,4.12276242857143
2020-01-26,3.51322895833333,4.03347009821429
2020-01-27,3.64818685416667,4.14995214880952
2020-01-28,3.777625,3.94606583333333
2020-01-29,3.40916666666667,3.60836047619048
2020-01-30,2.49027083333333,3.42940675892857
2020-01-31,3.25636808333333,3.38154565178571
2020-02-01,3.308120375,3.34328096726191
2020-02-02,3.74914583333333,3.37698337797619
2020-02-03,2.572125,3.22326025595238
2020-02-04,3.45785416666667,3.17757870833333
2020-02-05,1.72297916666667,2.9366947797619
2020-02-06,3.71370995833333,3.11147179761905
2020-02-07,3.1534433125,3.09676825892857
2020-02-08,3.0098964375,3.05416483928571
2020-02-09,3.42895833333333,3.00842376785714
2020-02-10,4.02097916666667,3.21540293452381
2020-02-11,3.38233333333333,3.20461424404762
2020-02-12,2.3898914375,3.29988742559524
2020-02-13,3.68810416666667,3.29622945535714
2020-02-14,3.86975,3.39855898214286
2020-02-15,3.15110416666667,3.41873151488095
2020-02-16,3.11412527083333,3.37375536309524
2020-02-17,3.20964266666667,3.25785014880952
2020-02-18,2.83152083333333,3.17916264880952
2020-02-19,2.85423710416667,3.24549774404762
2020-02-20,2.5774375,3.08683107738095
2020-02-21,3.31364583333333,3.007387625
2020-02-22,4.111717875,3.14461815476191
2020-02-23,3.21298952083333,3.15874161904762
2020-02-24,4.13668672916667,3.29117648511905
2020-02-25,4.795,3.57167350892857
2020-02-26,3.35974291666667,3.643888625
2020-02-27,3.23588372916667,3.73795237202381
2020-02-28,2.58573764583333,3.63396548809524
2020-02-29,2.3646111875,3.38437881845238
2020-03-01,1.91668795833333,3.19919288095238
2020-03-02,3.63039583333333,3.12686561011905
2020-03-03,4.05318489583333,3.02089202380952
2020-03-04,12.2890825416667,4.2965119702381
2020-03-05,2.63204166666667,4.21024881845238
2020-03-06,3.94091666666667,4.40384582142857
2020-03-07,1.61942945833333,4.29739128869048
2020-03-08,2.15112620833333,4.33088246726191
2020-03-09,2.99044154166667,4.23946042559524
2020-03-10,2.75340952083333,4.05377822916667
2020-03-11,3.42808447916667,2.78792136309524
2020-03-12,3.23783333333333,2.87446302976191
2020-03-13,2.7382244375,2.70264985416667
2020-03-14,2.37981558333333,2.81127644345238
2020-03-15,3.43579166666667,2.99480008035714
2020-03-16,2.0959858125,2.86702069047619
2020-03-17,2.716075375,2.86168724107143
2020-03-18,3.59912135416667,2.88612108035714
2020-03-19,3.47625,2.92018060416667
2020-03-20,2.15536433333333,2.836914875
2020-03-21,2.16881283333333,2.806771625
2020-03-22,2.2323280625,2.63484825297619
2020-03-23,1.92545872916667,2.61048724107143
2020-03-24,1.17250108333333,2.38997662797619
2020-03-25,1.42672552083333,2.07963436607143
2020-03-26,2.31692802083333,1.91401694047619
2020-03-27,2.24227058333333,1.92643211904762
2020-03-28,1.62756270833333,1.84911067261905
2020-03-29,2.72852173913043,1.91999548356625
2020-03-30,3.01276035416667,2.07532428713768
2020-03-31,3.01254452083333,2.33818763535197
2020-04-01,3.60960416666667,2.65002744189959
2020-04-02,2.80656275,2.71997526035197
2020-04-03,2.63385416666667,2.77591577225673
2020-04-04,2.904758,2.95837224249482
2020-04-05,1.62678858333333,2.80098179166667
2020-04-06,1.42669779166667,2.57440142559524
2020-04-07,2.54144679166667,2.50710175
2020-04-08,1.93017804166667,2.26718373214286
2020-04-09,3.2409015625,2.32923213392857
2020-04-10,3.70686139583333,2.48251888095238
2020-04-11,1.8584763125,2.33305006845238
2020-04-12,3.32550729166667,2.57572416964286
2020-04-13,0.323791666666668,2.41816615178571
2020-04-14,1.1494101875,2.21930377976191
2020-04-15,2.06268804166667,2.2382337797619
2020-04-16,2.9364545,2.1947413422619
2020-04-17,2.687625,2.04913614285714
2020-04-18,2.87197916666667,2.19392226488095
2020-04-19,2.19775016666667,2.03281410416667
2020-04-20,0.172391270833333,2.01118547619048
2020-04-21,1.30777072916667,2.03380841071429
2020-04-22,3.53799352083333,2.24456633630952
2020-04-23,3.4800736875,2.32222622023809
2020-04-24,1.6126875,2.1686637202381
2020-04-25,3.00829166666667,2.18813693452381
2020-04-26,2.29114647916667,2.20147926488095
2020-04-27,1.58254197916667,2.40292936607143
2020-04-28,3.39016666666667,2.7004145
2020-04-29,2.23258295833333,2.51392727678571
2020-04-30,2.10658297916667,2.31771431845238
2020-05-01,3.02039583333333,2.51881550892857
2020-05-02,2.4455838125,2.43842867261905
2020-05-03,3.56322916666667,2.62015477083333
